,number_of_requests,number_of_errors,response_time,cpu_cores,memory_usage,cpu_usage
0,6013,1.0,13839.534810905836,6,0.3322820784951408,48.83746856069407
1,8834,0.0,14657.60945108924,6,0.9312170069069308,48.34824608987548
2,7971,0.0,14137.22161759232,6,0.803488249137449,48.58679455232896
3,7653,0.0,14257.821995249256,6,0.4863430792081407,48.740180729861834
4,7313,0.0,14281.586371312218,6,0.3690451510634047,48.84442896804458
5,7448,1.0,14454.882206428829,6,0.1091327936414452,48.87291647991134
6,5356,1.0,13985.29198442964,6,0.4468941708497149,48.88489768195392
7,7912,1.0,14669.506133200655,6,0.7745464458574295,48.7973834250195
8,6809,0.0,14238.49609415009,6,0.8773226204615641,48.928690931187404
9,5933,0.0,14431.27080474768,6,0.1179111224241589,49.07831122481946
10,5457,1.0,13853.186666838435,6,0.5649217562863212,48.83488747205546
11,9362,1.0,14335.694565277898,6,0.4555322696336235,47.90626536029356
12,8063,0.0,14985.432229371478,6,0.2343989273128283,48.84723647595851
13,8283,1.0,14187.223354757612,6,0.3963252788427924,48.47550699256395
14,7006,1.0,14677.878156279376,6,0.9311028637019908,49.06099142624888
15,9844,0.0,14744.465408351827,6,0.1946222730092898,47.66205275681692
16,9382,2.0,15131.27615483129,6,0.797536552651725,48.13869227118077
17,6574,1.0,14606.227122540538,6,0.6513514349889414,49.10262341142678
18,7943,0.0,14343.549170105774,6,0.915762555693451,48.67042736055567
19,8270,2.0,14811.117089525236,6,0.1966725083831522,48.695659829109964
20,5363,0.0,13773.489856595888,6,0.4867624818742303,48.79648783439158
21,5294,1.0,14059.091262376922,6,0.2531251117395382,48.91211504931708
22,8873,0.0,14708.562862762989,6,0.3331314620699306,48.341742692367035
23,8255,1.0,14874.700426714671,6,0.4894926935707203,48.7243306018922
24,6257,1.0,14721.755519594206,6,0.8117383788296173,49.17813198880561
25,7298,0.0,14110.969534726786,6,0.7458544449297949,48.784496671294505
26,7222,1.0,14026.974511193295,6,0.3876947762082714,48.770620449174174
27,5383,0.0,13598.41064200386,6,0.4284565527400684,48.723800955946984
28,5743,0.0,13690.71714979216,6,0.3298973448395361,48.77651469762871
29,5204,1.0,13614.746242630315,6,0.5910096717704235,48.71858842519406
30,6634,1.0,14714.99332789862,6,0.985624856015189,49.13675159027598
31,8200,1.0,14257.545253615135,6,0.5999284014128494,48.536286075928835
32,6281,1.0,14074.67789522832,6,0.7286565650442013,48.92114862214017
33,9183,2.0,14875.923262555169,6,0.8995617694350649,48.19822860531008
34,5906,1.0,14093.124104160472,6,0.1812332457983265,48.94233149466786
35,8537,2.0,14752.245965308386,6,0.7964354013495657,48.544270086681664
36,5866,0.0,13852.242136019107,6,0.9117487917495232,48.84419781010718
37,6322,0.0,14142.605017058902,6,0.4052791040458403,48.945396057593584
38,5499,1.0,14499.032535350114,6,0.3861984205653511,49.10301012600282
39,6917,1.0,14524.308571167216,6,0.3673549117741718,49.01991477217281
40,9910,2.0,14740.238006597268,6,0.99368704553039,47.605926808433296
41,5450,1.0,13709.739281685648,6,0.4183126249766958,48.77442958293499
42,7551,0.0,14173.0725374328,6,0.7401335297424368,48.74023774048844
43,7062,1.0,14011.224651788843,6,0.3427757408560831,48.79793488206894
